"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-03-09",35,4,,,2,,8,5583,1534,,,0,1163,292,,51,13489,1899
"2020-03-08",31,4,,,0,,6,4049,716,,,0,871,199,,51,11590,944
"2020-03-07",27,1,,,0,,6,3333,661,,,0,672,173,,51,10646,932
"2020-03-06",26,6,,,1,,6,2672,723,,,0,499,113,,38,9714,869
"2020-03-05",20,4,,,1,,5,1949,532,,,0,386,104,,27,8845,635
"2020-03-04",16,2,,,4,,4,1417,971,,,0,282,138,,20,8210,1102
"2020-03-03",14,3,,,0,,,446,203,,,0,144,50,,8,7108,272
"2020-03-02",11,3,,,0,,,243,158,,,0,94,44,,8,6836,212
"2020-03-01",8,3,,,0,,,85,61,,,0,50,32,,8,6624,97
"2020-02-29",5,1,,,0,,,24,24,,,0,18,18,,6,6527,47
"2020-02-28",4,2,,,0,,,0,0,,,0,0,0,,6,6480,3
"2020-02-27",2,0,,,0,,,0,0,,,0,0,0,,6,6477,6446
"2020-02-26",2,2,,,0,,,0,0,,,0,0,0,,4,31,0
"2020-02-25",0,0,,,0,,,0,0,,,0,0,0,,4,31,1
"2020-02-24",0,0,,,0,,,0,0,,,0,0,0,,4,30,2
"2020-02-23",0,0,,,0,,,0,0,,,0,0,0,,4,28,0
"2020-02-22",0,0,,,0,,,0,0,,,0,0,0,,4,28,1
"2020-02-21",0,0,,,0,,,0,0,,,0,0,0,,4,27,0
"2020-02-20",0,0,,,0,,,0,0,,,0,0,0,,4,27,1
"2020-02-19",0,0,,,0,,,0,0,,,0,0,0,,4,26,0
"2020-02-18",0,0,,,0,,,0,0,,,0,0,0,,4,26,0
"2020-02-17",0,0,,,0,,,0,0,,,0,0,0,,4,26,1
"2020-02-16",0,0,,,0,,,0,0,,,0,0,0,,4,25,0
"2020-02-15",0,0,,,0,,,0,0,,,0,0,0,,4,25,3
"2020-02-14",0,0,,,0,,,0,0,,,0,0,0,,4,22,0
"2020-02-13",0,0,,,0,,,0,0,,,0,0,0,,4,22,1
"2020-02-12",0,0,,,0,,,0,0,,,0,0,0,,4,21,1
"2020-02-11",0,0,,,0,,,0,0,,,0,0,0,,4,20,1
"2020-02-10",0,0,,,0,,,0,0,,,0,0,0,,4,19,1
"2020-02-09",,0,,,0,,,0,0,,,0,0,0,,3,18,0
"2020-02-08",,0,,,0,,,0,0,,,0,0,0,,3,18,2
"2020-02-07",,0,,,0,,,0,0,,,0,0,0,,3,16,0
"2020-02-06",,0,,,0,,,0,0,,,0,0,0,,3,16,1
"2020-02-05",,0,,,0,,,0,0,,,0,0,0,,3,15,0
"2020-02-04",,0,,,0,,,0,0,,,0,0,0,,3,15,4
"2020-02-03",,0,,,0,,,0,0,,,0,0,0,,3,11,3
"2020-02-02",,0,,,0,,,0,0,,,0,0,0,,3,8,0
"2020-02-01",,0,,,0,,,0,0,,,0,0,0,,3,8,0
"2020-01-31",,0,,,0,,,0,0,,,0,0,0,,3,8,3
"2020-01-30",,0,,,0,,,0,0,,,0,0,0,,3,5,0
"2020-01-29",,0,,,0,,,0,0,,,0,0,0,,3,5,2
"2020-01-28",,0,,,0,,,0,0,,,0,0,0,,2,3,0
"2020-01-27",,0,,,0,,,0,0,,,0,0,0,,2,3,1
"2020-01-26",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-25",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-24",,0,,,0,,,0,0,,,0,0,0,,2,2,0
"2020-01-23",,0,,,0,,,0,0,,,0,0,0,,2,2,1
"2020-01-22",,0,,,0,,,0,0,,,0,0,0,,2,1,0
